point_number,latitude,longitude,cumulative_distance_km
121,45.18835,-0.75081,3.1608209454998626
122,45.18783,-0.75142,3.235906744428756
123,45.18745,-0.75183,3.289026636499182
124,45.18726,-0.75198,3.313210122320784
125,45.18723,-0.75201,3.3172935852862055
126,45.18718,-0.75202,3.322905656757754
127,45.18668,-0.75233,3.383579559015277
128,45.18651,-0.75241,3.4034912557443238
129,45.18642,-0.75244,3.413767568712156
130,45.18621,-0.75246,3.437158876788445
131,45.18608,-0.75245,3.4516278407073018
132,45.18603,-0.75243,3.4574026423027053
133,45.18569,-0.75239,3.4953192265832893
134,45.18555,-0.75236,3.5110558126977307
135,45.18512,-0.75231,3.559005327622702
136,45.18503,-0.75231,3.5690075131062797
137,45.18485,-0.75233,3.5890735433172503
138,45.18352,-0.75282,3.7418181207142274
139,45.18333,-0.75287,3.7632963994910917
140,45.18322,-0.75288,3.7755465277213687
141,45.18311,-0.75287,3.7877966558150455
142,45.18311,-0.75296,3.7948702320964767
143,45.18298,-0.75295,3.809339190466916
144,45.18283,-0.75291,3.8263033473135573
145,45.18261,-0.75281,3.8519853374849604
146,45.18257,-0.7528,3.856499696502827
147,45.18221,-0.75261,3.899204510992742
148,45.18176,-0.7524,3.9518686949531694
149,45.18087,-0.7521,4.05355084178012
150,45.18085,-0.7521,4.055773548017748
151,45.18074,-0.75208,4.068099085780921
152,45.18057,-0.75207,4.087008430362366
153,45.1804,-0.75208,4.105917774476854
154,45.18033,-0.75207,4.113736850688838
155,45.1797,-0.75211,4.183822640310663
156,45.17964,-0.75212,4.190536922472761
157,45.17913,-0.75215,4.247264945748002
158,45.17907,-0.75216,4.253979228164009
159,45.17894,-0.75216,4.268426813997317
160,45.17892,-0.75209,4.27436088740871
161,45.179,-0.7504,4.407493783885551
162,45.17897,-0.75035,4.4126475421956055
163,45.17891,-0.75042,4.421292573955428
164,45.17873,-0.75059,4.445349224771043
165,45.17834,-0.7509,4.495071656759355
166,45.1782,-0.75103,4.513685984987081
167,45.17815,-0.7511,4.52150590969417
168,45.17809,-0.75123,4.533707426835739
169,45.17804,-0.75143,4.550381060414399
170,45.178,-0.75191,4.5883711484339695
171,45.178,-0.75201,4.596231380707235
172,45.1778,-0.75194,4.61912932137363
173,45.1776,-0.75183,4.642978855376514
174,45.17742,-0.75171,4.665095437416895
175,45.17717,-0.7515,4.697412785574268
176,45.17702,-0.75139,4.716191990281888
177,45.17698,-0.75137,4.720907187183899
178,45.17672,-0.75115,4.754581707044396
179,45.17667,-0.75112,4.760618125295304
180,45.17657,-0.75104,4.77338736890777
181,45.17656,-0.75102,4.775312611253586
182,45.17596,-0.75056,4.8511663307118305
183,45.17593,-0.75053,4.85525005759078
184,45.17524,-0.74999,4.942897530516006
185,45.17514,-0.74993,4.954970412841166
186,45.1751,-0.74989,4.960415407702937
187,45.17452,-0.74951,5.031458610732838
188,45.17422,-0.74937,5.066568484032091
189,45.17355,-0.74914,5.143192609565176
190,45.17349,-0.74911,5.150265448958799
191,45.17336,-0.74907,5.165051226927776
192,45.17317,-0.74898,5.187320594125304
193,45.17302,-0.74889,5.205430013293557
194,45.17243,-0.74845,5.279563241043493
195,45.17238,-0.7484,5.286369590298323
196,45.17235,-0.74838,5.290055744953866
197,45.17233,-0.74836,5.2927782856666585
198,45.17119,-0.74759,5.433189510923058
199,45.17099,-0.74748,5.457039383507161
200,45.17092,-0.74743,5.465755437276416
201,45.17083,-0.74739,5.476240235829175
202,45.17028,-0.74709,5.541756459401026
203,45.1702,-0.74706,5.55095474599355
204,45.16965,-0.74678,5.615921646455973
205,45.16937,-0.74662,5.6494854838140265
206,45.16919,-0.74649,5.6719491923896435
207,45.16907,-0.74636,5.688750996205293
208,45.169,-0.74623,5.701594920605307
209,45.1683,-0.74435,5.868615314694636
210,45.16811,-0.7439,5.909814963121243
211,45.16793,-0.74356,5.9432011334304775
212,45.16774,-0.74329,5.973141596189698
213,45.16772,-0.74325,5.9769924758831525
214,45.16743,-0.74286,6.021476015418171
215,45.16726,-0.74266,6.046055865953144
216,45.16707,-0.7425,6.070634233384192
217,45.167,-0.74246,6.0790252406205685
218,45.16633,-0.74216,6.157131782977129
219,45.16612,-0.74203,6.182609922022466
220,45.16591,-0.74178,6.213121987268556
221,45.16586,-0.74169,6.2221188277778205
222,45.16582,-0.74165,6.2275641116040195
223,45.16554,-0.74124,6.272367483358802
224,45.1655,-0.7412,6.277812777147811
225,45.16541,-0.74113,6.289228998604583
226,45.16527,-0.74104,6.306321278127636
227,45.16523,-0.74097,6.313395802077521
228,45.16519,-0.74074,6.332016793431769
229,45.16516,-0.74067,6.33845133113797
230,45.16512,-0.74061,6.34493311842309
231,45.16507,-0.74058,6.350969713267459
232,45.16482,-0.74049,6.379640326807412
233,45.16475,-0.74048,6.387459403362337
234,45.1647,-0.74046,6.393234344674575
235,45.16441,-0.74038,6.426071486375993
236,45.16421,-0.74035,6.448423277887877
237,45.16418,-0.74034,6.451848773141819
238,45.16412,-0.74034,6.4585168722618524
239,45.16375,-0.74041,6.500003477482916
240,45.16367,-0.7404,6.508928970920455
241,45.16341,-0.7404,6.5378240640052505
242,45.16324,-0.74037,6.556863673009854
243,45.1632,-0.74037,6.561309071696396
244,45.16306,-0.74031,6.577567385478946
245,45.16301,-0.7403,6.5831794801407
246,45.16126,-0.73964,6.784469414734905
247,45.161,-0.73956,6.81404119738979
248,45.16082,-0.73952,6.834291202107439
249,45.16067,-0.7395,6.851035444453511
250,45.15987,-0.73949,6.939946848704885
251,45.15982,-0.7395,6.945558946426306
252,45.15949,-0.7395,6.9822334625941105
253,45.15911,-0.73946,7.024581673631184
254,45.15902,-0.73942,7.035066647263006
255,45.15827,-0.73927,7.119248130355713
256,45.15821,-0.73927,7.125916222545634
257,45.157,-0.739,7.262054964029325
258,45.15694,-0.73898,7.268905991911492
259,45.15684,-0.73897,7.280047258596623
260,45.15674,-0.73895,7.2912714599015755
261,45.15669,-0.73896,7.296883560627111
262,45.15661,-0.73896,7.305774347726832
263,45.15614,-0.73904,7.358385148258378
264,45.15586,-0.73907,7.389592186257932
265,45.15582,-0.73908,7.394106588764243
266,45.15578,-0.73908,7.398551981649724
267,45.15303,-0.73942,7.705339869253718
268,45.15261,-0.7395,7.752438501946822
269,45.15235,-0.73958,7.7820104441042
270,45.15052,-0.74052,7.998404236690659
271,45.15044,-0.74057,8.008125688070658
272,45.14994,-0.74083,8.067335420926064
273,45.14989,-0.74085,8.073110459248024
274,45.14941,-0.7411,8.129962732493931
275,45.14936,-0.74114,8.136348069183766
276,45.14889,-0.74137,8.191624483071154
277,45.14886,-0.74139,8.195310900914485
278,45.14832,-0.74166,8.258969294857918
279,45.14812,-0.74169,8.2813210938941
280,45.148,-0.74167,8.294749686422861
281,45.14799,-0.74179,8.304252129464205
282,45.14797,-0.74182,8.307493533801676
283,45.14796,-0.74185,8.310101489048208
284,45.14757,-0.74207,8.356769694805559
285,45.14754,-0.74208,8.360195233096974
286,45.14751,-0.74211,8.364279623654749
287,45.14777,-0.74321,8.45548620497879
288,45.14793,-0.74361,8.491621489380819
289,45.14769,-0.74376,8.520786054823745
290,45.14759,-0.74378,8.532010273685987
291,45.14746,-0.74385,8.547471079478246
292,45.14716,-0.74384,8.580820750535281
